,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
1,UBS Group AG,1636152000.0,11/13/2023,#N/A Field Not Applicable,Baa3,BB,USD,USH42097ER43,8.733408002053066,4.492,9.25,POS,NEG,0.2992656027192321,80112709880
5,JPMorgan Chase & Co,2000000000.0,11/13/2023,11/13/2031,A1,A-,EUR,XS2717291970,4.241639503245925,4.457,4.457,STABLE,STABLE,0.0758519689692336,443654140000
7,UBS Group AG,2183377500.0,1/31/2019,#N/A Field Not Applicable,Baa3,BB,USD,USH4209UAT37,8.567313723052978,7.0,7.0,POS,NEG,0.3536730055828841,80112709880
8,JPMorgan Chase & Co,2813031000.0,10/23/2023,10/23/2034,A1,A-,USD,US46647PDY97,5.796943364036102,6.2540000000000004,6.254,STABLE,STABLE,0.0676358712924863,443654140000
9,Apple Inc,1139425000.0,5/10/2023,5/10/2053,Aaa,AA+,USD,US037833EW60,5.084974641797235,4.882,4.85,STABLE,STABLE,0.2750282361678819,2962954783520
10,Morgan Stanley,1898474000.0,11/1/2023,11/1/2034,A1,A-,USD,US61747YFJ91,5.958058902074137,6.627,6.627,STABLE,STABLE,0.0548063197956065,125905011300
12,JPMorgan Chase & Co,2109773250.0,10/23/2023,10/23/2029,A1,A-,USD,US46647PDX15,5.685625696181168,6.087,6.087,STABLE,STABLE,0.0615438328500814,443654140000
14,Morgan Stanley,1898474000.0,11/1/2023,11/1/2029,A1,A-,USD,US61747YFH36,5.865721290153065,6.407,6.407,STABLE,STABLE,0.0485655386459533,125896804740
15,JPMorgan Chase & Co,1875354000.0,10/23/2023,10/22/2027,A1,A-,USD,US46647PDW32,5.844014791580257,6.07,6.07,STABLE,STABLE,0.0230068043688445,443654140000
17,Intel Corp,2109035250.0,2/10/2023,2/10/2033,A2,A,USD,US458140CG35,5.092187057667829,5.237,5.2,NEG,NEG,0.1377072443175396,186958520000
19,Apple Inc,911540000.0,5/10/2023,5/10/2033,Aaa,AA+,USD,US037833EV87,4.5053030133503515,4.311,4.3,STABLE,STABLE,0.1891618446892001,2962799256000
22,Intesa Sanpaolo SpA,1500000000.0,8/29/2023,8/29/2031,Baa1,BBB,EUR,XS2673808726,4.828597597421609,5.237,5.125,STABLE,STABLE,0.1290877782305163,47827802150
26,UBS Group AG,1407717000.0,9/22/2023,9/22/2029,A3,A-,USD,USH42097EN39,6.156378164874833,6.246,6.246,POS,NEG,0.1260393182464532,80112709880
32,UBS Group AG,1642336500.0,9/22/2023,9/22/2034,A3,A-,USD,USH42097EQ69,6.2585297980049965,6.301,6.301,POS,NEG,0.1385436451863351,80112709880
33,JPMorgan Chase & Co,2830362000.0,12/15/2022,12/15/2025,A1,A-,USD,US46647PDM59,6.213879756258849,5.546,5.546,STABLE,STABLE,0.0368614146450967,443654140000
34,JPMorgan Chase & Co,2325240000.0,9/10/2014,9/10/2024,A3,BBB+,USD,US46625HJY71,5.7684459674285335,3.939,3.875,STABLE,STABLE,0.0499572327600241,443654140000
38,Intel Corp,1874698000.0,2/10/2023,2/10/2053,A2,A,USD,US458140CJ73,5.65756227000028,5.703,5.7,NEG,NEG,0.2300488121309482,186958520000
44,UBS Group AG,1173097500.0,9/22/2023,12/22/2027,A3,A-,USD,USH42097EL72,6.189652581436546,6.327,6.327,POS,NEG,0.0992493602200267,80112709880
45,Intesa Sanpaolo SpA,1145197500.0,6/20/2023,6/20/2033,Baa1,BBB,USD,US46115HBZ91,6.957713506579101,6.634,6.625,STABLE,STABLE,0.2500437938111123,47827802150
47,Intesa Sanpaolo SpA,1250000000.0,5/19/2023,5/19/2030,Baa1,BBB,EUR,XS2625196352,4.616325772716796,4.875,4.875,STABLE,STABLE,0.2612606108081988,47827802150
49,JPMorgan Chase & Co,3424221500.0,7/25/2022,7/25/2028,A1,A-,USD,US46647PDG81,5.755986656573126,4.851,4.851,STABLE,STABLE,0.1477761106202359,443654140000
50,Deutsche Bank AG,1152770000.0,2/14/2020,#N/A Field Not Applicable,Ba2,BB-,USD,US251525AX97,9.486627573916588,6.0,6.0,STABLE,POS,0.4538428508404163,22573248090
53,Intesa Sanpaolo SpA,750000000.0,3/8/2023,3/8/2033,Baa3,BBB-,EUR,XS2592658947,5.311483242941377,5.7250000000000005,5.625,STABLE,STABLE,0.4252636796182095,47827802150
54,Intel Corp,1640360750.0,2/10/2023,2/10/2028,A2,A,USD,US458140CE86,4.960280902086145,4.894,4.875,NEG,NEG,0.1243939765784526,186958520000
56,Apple Inc,1476258000.0,8/20/2020,8/20/2060,Aaa,AA+,USD,US037833EA41,4.659061771245866,2.593,2.55,STABLE,STABLE,0.4149826273644829,2962954783520
57,Deutsche Bank AG,1210834500.0,11/21/2014,#N/A Field Not Applicable,Ba2,BB-,USD,US251525AN16,9.538385964647102,7.5,7.5,STABLE,POS,0.4539090287225095,22573248090
58,Apple Inc,1367310000.0,5/10/2023,5/10/2028,Aaa,AA+,USD,US037833ET32,4.561332702277895,4.043,4.0,STABLE,STABLE,0.1272458556032629,2963062097500
59,Apple Inc,3629320000.0,2/23/2016,2/23/2046,Aaa,AA+,USD,US037833BX70,5.104852831661489,4.686,4.65,STABLE,STABLE,0.3191430856118503,2962488200960
61,JPMorgan Chase & Co,2256002500.0,7/24/2023,7/24/2029,A1,A-,USD,US46647PDU75,5.658262690166594,5.299,5.299,STABLE,STABLE,0.0842301035430476,443654140000
63,UBS Group AG,1642336500.0,9/22/2023,9/22/2034,A3,A-,USD,US225401BG25,6.288486805221549,6.301,6.301,POS,NEG,0.1385436451863351,80112709880
65,BlackRock Inc,1166856250.0,5/25/2023,5/25/2033,Aa3,AA-,USD,US09247XAT81,5.178885092898616,4.877,4.75,STABLE,STABLE,0.2438889992027547,110200630110
67,Intesa Sanpaolo SpA,1374237000.0,6/20/2023,6/20/2054,Baa3,BBB-,USD,US46115HCB15,8.341388867728528,7.812,7.778,STABLE,STABLE,0.3238553614581908,47827802150
70,Intesa Sanpaolo SpA,1250000000.0,1/11/2017,#N/A Field Not Applicable,Ba3,BB-,EUR,XS1548475968,9.64981189618777,7.75,7.75,STABLE,STABLE,0.4736066208723616,47827802150
71,Intesa Sanpaolo SpA,1000000000.0,2/20/2023,2/20/2034,Baa3,BB+,EUR,XS2589361240,6.062466575923759,6.184,6.184,STABLE,STABLE,0.3692843730668695,47827802150
72,JPMorgan Chase & Co,1067166057.5,10/20/2017,#N/A Field Not Applicable,Baa2,BBB-,USD,US48128BAD38,8.255310639697775,4.625,8.21873,STABLE,STABLE,0.3429624299466054,443654140000
74,JPMorgan Chase & Co,2814471000.0,4/26/2022,4/26/2026,A1,A-,USD,US46647PCZ71,6.190219154099405,4.08,4.08,STABLE,STABLE,0.0731061702968614,443654140000
75,Morgan Stanley,2373042000.0,10/23/2014,10/23/2024,A1,A-,USD,US61761JVL06,5.822535245731925,3.721,3.7,STABLE,STABLE,0.0388561583047874,125905011300
76,JPMorgan Chase & Co,1152915000.0,4/23/2013,#N/A Field Not Applicable,Baa2,BBB-,USD,US48124BAC90,8.836839550113195,5.15,8.888730000000002,STABLE,STABLE,0.3038234721018676,443654140000
77,Morgan Stanley,3043830000.0,10/18/2022,10/18/2033,A1,A-,USD,US61747YEY77,5.990209844329622,6.3420000000000005,6.342,STABLE,STABLE,0.1551221502073483,125896804740
80,JPMorgan Chase & Co,1657496000.0,5/12/2021,#N/A Field Not Applicable,Baa2,BBB-,USD,US48128BAN10,7.424351822443955,3.65,3.65,STABLE,STABLE,0.2873494155522477,443654140000
