,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
1,0.2992656027192321,8.733408002053066,-1,1,UBS Group AG
5,0.0758519689692336,4.241639503245925,0,0,JPMorgan Chase & Co
7,0.3536730055828841,8.567313723052978,-1,1,UBS Group AG
8,0.0676358712924863,5.796943364036102,0,0,JPMorgan Chase & Co
9,0.2750282361678819,5.084974641797235,0,0,Apple Inc
10,0.0548063197956065,5.958058902074137,0,0,Morgan Stanley
12,0.0615438328500814,5.685625696181168,0,0,JPMorgan Chase & Co
14,0.0485655386459533,5.865721290153065,0,0,Morgan Stanley
15,0.0230068043688445,5.844014791580257,0,0,JPMorgan Chase & Co
17,0.1377072443175396,5.092187057667829,-1,1,Intel Corp
19,0.1891618446892001,4.5053030133503515,0,0,Apple Inc
22,0.1290877782305163,4.828597597421609,0,0,Intesa Sanpaolo SpA
26,0.1260393182464532,6.156378164874833,-1,1,UBS Group AG
32,0.1385436451863351,6.2585297980049965,-1,1,UBS Group AG
33,0.0368614146450967,6.213879756258849,0,0,JPMorgan Chase & Co
34,0.0499572327600241,5.7684459674285335,0,0,JPMorgan Chase & Co
38,0.2300488121309482,5.65756227000028,-1,1,Intel Corp
44,0.0992493602200267,6.189652581436546,-1,1,UBS Group AG
45,0.2500437938111123,6.957713506579101,0,2,Intesa Sanpaolo SpA
47,0.2612606108081988,4.616325772716796,0,0,Intesa Sanpaolo SpA
49,0.1477761106202359,5.755986656573126,0,0,JPMorgan Chase & Co
50,0.4538428508404163,9.486627573916588,1,2,Deutsche Bank AG
53,0.4252636796182095,5.311483242941377,0,2,Intesa Sanpaolo SpA
54,0.1243939765784526,4.960280902086145,-1,1,Intel Corp
56,0.4149826273644829,4.659061771245866,0,2,Apple Inc
57,0.4539090287225095,9.538385964647102,1,2,Deutsche Bank AG
58,0.1272458556032629,4.561332702277895,0,0,Apple Inc
59,0.3191430856118503,5.104852831661489,0,2,Apple Inc
61,0.0842301035430476,5.658262690166594,0,0,JPMorgan Chase & Co
63,0.1385436451863351,6.288486805221549,-1,1,UBS Group AG
65,0.2438889992027547,5.178885092898616,0,0,BlackRock Inc
67,0.3238553614581908,8.341388867728528,0,2,Intesa Sanpaolo SpA
70,0.4736066208723616,9.64981189618777,0,2,Intesa Sanpaolo SpA
71,0.3692843730668695,6.062466575923759,0,2,Intesa Sanpaolo SpA
72,0.3429624299466054,8.255310639697775,0,2,JPMorgan Chase & Co
